epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6885467767715454,0.19719262421131134,1e-04,0.6010868549346924,0.42178669571876526
1,0.7748895883560181,-0.37838637828826904,1e-04,0.7640923261642456,-0.46834203600883484
2,0.7929807305335999,-0.6931741833686829,1e-04,0.7954385876655579,-1.01492178440094
3,0.8013680577278137,-0.986804723739624,1e-04,0.7762817144393921,-1.4780176877975464
4,0.8062387108802795,-1.277694582939148,1e-04,0.7868118286132812,-1.6053341627120972
5,0.8099461197853088,-1.577476143836975,1e-04,0.8095247745513916,-2.2067978382110596
6,0.814437210559845,-1.911148190498352,1e-04,0.805141031742096,-2.436518907546997
7,0.8178974986076355,-2.238879680633545,1e-04,0.805742621421814,-2.662104368209839
8,0.8203146457672119,-2.590519905090332,1e-04,0.8151549696922302,-2.801339864730835
9,0.8239988088607788,-2.9447340965270996,1e-04,0.8023352026939392,-2.76147198677063
10,0.826605498790741,-3.320441246032715,1e-04,0.8008600473403931,-3.441298007965088
11,0.8288117051124573,-3.699016809463501,1e-04,0.8187028765678406,-4.380490779876709
12,0.8301808834075928,-4.1038031578063965,1e-04,0.8045967817306519,-4.703019142150879
13,0.8316293358802795,-4.503026962280273,1e-04,0.8117228150367737,-4.873059272766113
14,0.833667516708374,-4.945652008056641,1e-04,0.817364513874054,-5.232585430145264
